,5,4,1,3,2
5,null,"['陕西', '西安', '导师', '传播', '建设', '思想', '突破', '研究', '出版', '计划', '陕西省', '课堂', '科学研究', '国家', '学术会议', '融合', '学科', '产业', '解决', '新闻', '课堂教学', '青年', '方向', '教学', '支持', '一步', '持续', '教师', '提出', '交流', '学院', '围绕', '需求', '培养', '背景', '教材', '启动', '科研', '学术', '科学', '困惑', '媒体', '学生', '学习', '实践', '工科', '交叉学科', '交叉', '分析', '会议', '专业', '基础', '发展']","['利用', '合作', '智能', '建设', '思想', '强化', '国家', '创新', '深度', '融合', '中心', '产业', '局面', '落实', '方向', '国际', '支持', '一步', '持续', '提出', '处于', '目标', '工作', '力度', '推进', '围绕', '需求', '体系', '攻坚', '成本', '转换', '人民', '主体', '实践', '提升', '地区', '举措', '大幅', '领导', '基础', '发展', '电网']","['陕西', '交通', '西安', '导师', '代表', '智能', '传播', '研究', '出版', '沟通', '计划', '陕西省', '国家', '科学研究', '团队', '创新', '融合', '中心', '产业', '大学', '主任', '西安交通大学', '方向', '青年', '出版社', '主持', '支持', '交流', '学校', '系主任', '工作', '学院', '体系', '启动', '科研', '科学', '实验', '媒体', '重点', '实践', '西安交通', '人才', '分析', '专业', '基础', '发展']",['建议']
4,"['陕西', '西安', '导师', '传播', '建设', '思想', '突破', '研究', '出版', '计划', '陕西省', '课堂', '科学研究', '国家', '学术会议', '融合', '学科', '产业', '解决', '新闻', '课堂教学', '青年', '方向', '教学', '支持', '一步', '持续', '教师', '提出', '交流', '学院', '围绕', '需求', '培养', '背景', '教材', '启动', '科研', '学术', '科学', '困惑', '媒体', '学生', '学习', '实践', '工科', '交叉学科', '交叉', '分析', '会议', '专业', '基础', '发展']",null,"['项目', '参与', '建设', '网络', '重塑', '思想', '信息', '发展', '国家', '规划', '应急', '构建', '融合', '社会', '治理', '高质', '产业', '能力', '十四五', '国内', '方向', '生活', '数字化', '数据', '升级', '推动', '转型', '做好', '领域', '支持', '持续', '影响', '提出', '技术', '变重', '质量', '战略', '围绕', '十四', '机器人', '需求', '优势', '多个', '激发', '四五', '机器', '高质量', '应对', '一轮', '进一步', '实践', '环境', '管理', '数字', '信息技术', '指导', '新一轮', '基础', '一步']","['回国', '科学基金', '省级', '机制', '产业', '科研项目', '支持', '影响', '一流', '人员', '机器人', '理论', '媒体', '叠加', '论文', '数字', '数据挖掘', '研究生', '教育部', '博士', '导师', '传播', '出版', '国家自然科学基金', '授课', '青年', '自然', '年度', '分类', '多维', '转型', '报告', '交流', '文化', '国人', '启动', '社会科学', '可视化', '基金', '热点问题', '实践', '环境', '社交', '交互', '专业', '发展', '项目', '基于', '二等奖', '可视', '网络', '专著', '二等', '挖掘', '科学研究', '社会', '奖学', '突发事件', '方法', '数据', '学回', '语言', '情报', '知识', '奖学金', '技术', '学院', '成果', '数据分析', '优秀', '情感', '自然科', '教育', '设计', '事件', '文社', '分析', '协作', '机器', '课程', '用户', '陕西', '西安', '自然科学', '研究', '信息', '计划', '陕西省', '规划', '国家', '融合', '时代', '能力', '方向', '突发', '留学', '思维', '人文', '热点', '科研', '科学', '上项', '辨别', '管理', '博士生', '互设', '情报学', '基础', '面上']","['相关', '方法', '用于', '构建']"
1,"['利用', '合作', '智能', '建设', '思想', '强化', '国家', '创新', '深度', '融合', '中心', '产业', '局面', '落实', '方向', '国际', '支持', '一步', '持续', '提出', '处于', '目标', '工作', '力度', '推进', '围绕', '需求', '体系', '攻坚', '成本', '转换', '人民', '主体', '实践', '提升', '地区', '举措', '大幅', '领导', '基础', '发展', '电网']","['项目', '参与', '建设', '网络', '重塑', '思想', '信息', '发展', '国家', '规划', '应急', '构建', '融合', '社会', '治理', '高质', '产业', '能力', '十四五', '国内', '方向', '生活', '数字化', '数据', '升级', '推动', '转型', '做好', '领域', '支持', '持续', '影响', '提出', '技术', '变重', '质量', '战略', '围绕', '十四', '机器人', '需求', '优势', '多个', '激发', '四五', '机器', '高质量', '应对', '一轮', '进一步', '实践', '环境', '管理', '数字', '信息技术', '指导', '新一轮', '基础', '一步']",null,"['项目', '智能化', '智能', '大数', '网络', '评估', '调节', '信息', '十三', '国家', '规划', '方式', '创新', '十五', '驱动', '融合', '社会', '中心', '产业', '第十', '能力', '方向', '数据', '转型', '组织', '支持', '影响', '技术', '工作', '经济', '十一', '机器人', '体系', '资源', '科技', '机器', '多元', '实践', '环境', '管理', '数字', '中国', '基础', '发展']","['结构', '模式', '四个', '迭代', '方式', '控制', '构建']"
3,"['陕西', '交通', '西安', '导师', '代表', '智能', '传播', '研究', '出版', '沟通', '计划', '陕西省', '国家', '科学研究', '团队', '创新', '融合', '中心', '产业', '大学', '主任', '西安交通大学', '方向', '青年', '出版社', '主持', '支持', '交流', '学校', '系主任', '工作', '学院', '体系', '启动', '科研', '科学', '实验', '媒体', '重点', '实践', '西安交通', '人才', '分析', '专业', '基础', '发展']","['回国', '科学基金', '省级', '机制', '产业', '科研项目', '支持', '影响', '一流', '人员', '机器人', '理论', '媒体', '叠加', '论文', '数字', '数据挖掘', '研究生', '教育部', '博士', '导师', '传播', '出版', '国家自然科学基金', '授课', '青年', '自然', '年度', '分类', '多维', '转型', '报告', '交流', '文化', '国人', '启动', '社会科学', '可视化', '基金', '热点问题', '实践', '环境', '社交', '交互', '专业', '发展', '项目', '基于', '二等奖', '可视', '网络', '专著', '二等', '挖掘', '科学研究', '社会', '奖学', '突发事件', '方法', '数据', '学回', '语言', '情报', '知识', '奖学金', '技术', '学院', '成果', '数据分析', '优秀', '情感', '自然科', '教育', '设计', '事件', '文社', '分析', '协作', '机器', '课程', '用户', '陕西', '西安', '自然科学', '研究', '信息', '计划', '陕西省', '规划', '国家', '融合', '时代', '能力', '方向', '突发', '留学', '思维', '人文', '热点', '科研', '科学', '上项', '辨别', '管理', '博士生', '互设', '情报学', '基础', '面上']","['项目', '智能化', '智能', '大数', '网络', '评估', '调节', '信息', '十三', '国家', '规划', '方式', '创新', '十五', '驱动', '融合', '社会', '中心', '产业', '第十', '能力', '方向', '数据', '转型', '组织', '支持', '影响', '技术', '工作', '经济', '十一', '机器人', '体系', '资源', '科技', '机器', '多元', '实践', '环境', '管理', '数字', '中国', '基础', '发展']",null,"['方式', '方法', '接受', '模型']"
2,['建议'],"['相关', '方法', '用于', '构建']","['结构', '模式', '四个', '迭代', '方式', '控制', '构建']","['方式', '方法', '接受', '模型']",null
